strategy,token,entry_date,multiple,flagged_by_framework,survived
A,FICTIONAL_LISTING_ALPHA,2024-01-15,2.4,yes,yes
A,FICTIONAL_LISTING_BETA,2024-02-03,1.1,no,yes
A,FICTIONAL_LISTING_GAMMA,2024-03-21,3.0,yes,yes
B,FICTIONAL_SMARTWALLET_ONE,2024-01-08,5.5,yes,yes
B,FICTIONAL_SMARTWALLET_TWO,2024-02-19,0.4,no,no
B,FICTIONAL_SMARTWALLET_THREE,2024-04-02,1.8,no,yes
C,FICTIONAL_NARRATIVE_RWA,2024-01-30,2.2,yes,yes
C,FICTIONAL_NARRATIVE_DEPIN,2024-02-28,1.5,yes,yes
C,FICTIONAL_NARRATIVE_GAMEFI,2024-03-12,0.9,no,yes
D,FICTIONAL_AIRDROP_LOOP,2024-01-05,4.0,yes,yes
D,FICTIONAL_AIRDROP_ZERO,2024-02-14,0.0,no,no
E,FICTIONAL_MEME_DOGHAT,2024-01-22,12.0,yes,yes
E,FICTIONAL_MEME_RUGPULL,2024-02-09,0.0,yes,no
E,FICTIONAL_MEME_FLAT,2024-03-04,1.0,no,yes
E,FICTIONAL_MEME_MOON,2024-03-29,8.0,yes,yes
